Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
Helios,"Chen Chang, Shawn Yue, Si Won Choi, Jacky Cheung","Hong Kong, China, USA","Lok Man Leung, Lok Man Leung, Kim-Ching Luk, Kim-Ching Luk","Action, Crime, Fantasy","Cantonese, Mandarin, Korean",Unknown,NOT RATED,01 May 2015,118.0,movie,"Dean Kole, Lok Man Leung (screenplay), Kim-Ching Luk (screenplay), Robert Stein",2015,5.6,749,0,2
The Classified File,"Young-nam Jang, Ho-bin Jeong, Yun-seok Kim, Young-chang Song",South Korea,Kyung-taek Kwak,"Crime, Drama",Korean,Unknown,NOT RATED,18 Jun 2015,108.0,movie,Unknown,2015,6.4,422,2,5
Alice in Earnestland,"Jung-hyun Lee, Hae-yeong Lee, Young-hwa Seo, Joon Hyuk Lee",South Korea,Gooc-jin Ahn,"Comedy, Drama, Thriller",Korean,Unknown,NOT RATED,13 Aug 2015,87.0,movie,Gooc-jin Ahn,2015,6.9,193,5,4
The Silenced,"Won-Hee Go, Ryun Jo, Bo-Bi Joo, Dong-Hyun Kim",South Korea,Hae-yeong Lee,"Horror, Mystery, Thriller","Korean, Japanese",Unknown,NOT RATED,18 Jun 2015,99.0,movie,Unknown,2015,5.8,2192,4,4
Virgin Mountain,"Gunnar Jónsson, Ilmur Kristjánsdóttir, Sigurjón Kjartansson, Margrét Helga Jóhannsdóttir","Iceland, Denmark",Dagur Kári,Drama,Icelandic,Unknown,NOT RATED,20 Mar 2015,94.0,movie,Dagur Kári (screenplay),2015,7.5,5331,9,15
Tiger House,"Kaya Scodelario, Dougray Scott, Brandon Auret, Daniel Boyd","UK, South Africa",Thomas Daley,"Action, Crime, Drama",English,Unknown,R,03 Nov 2015,80.0,movie,Simon Lewis,2015,5.2,2975,0,0
7 Chinese Brothers,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta",USA,Bob Byington,Comedy,English,Screen Media Films,NOT RATED,13 Apr 2016,76.0,movie,Bob Byington,2015,5.6,1174,2,4
Life Eternal,"Josef Hader, Tobias Moretti, Nora von Waldstätten, Roland Düringer",Austria,Wolfgang Murnberger,"Comedy, Crime, Thriller","German, Romanian, Turkish",Unknown,NOT RATED,05 Mar 2015,123.0,movie,"Josef Hader (screenplay), Wolfgang Murnberger (screenplay), Wolf Haas (screenplay), Wolf Haas (novel)",2015,7.2,1729,2,6
The Thread,"Kevin Cheetham, Anthony Reed, Gavon Laessig, Jessica Testa",USA,Greg Barker,"Documentary, News",English,Unknown,NOT RATED,Unknown,61.0,movie,"Greg Barker, Alice Perman",2015,6.2,562,0,0
Ghoul,"Jennifer Armour, Dmytro Bazayev, Inna Belikova, Alina Golovlyova","Czech Republic, Ukraine",Petr Jákl,"Horror, Thriller",English,Vega Baby Releasing,NOT RATED,26 Feb 2015,86.0,movie,"Petr Bok, Petr Jákl, Petr Jákl (story by)",2015,4.5,1242,1,0
Drunk Wedding,"Nick P. Ross, J.R. Ramirez, Christian Cooke, Bethany Dwyer",USA,Nick Weiss,Comedy,English,Paramount Pictures,R,22 May 2015,81.0,movie,"Anthony Weiss, Nick Weiss",2015,4.6,593,0,0
Idealisten,"Peter Plaugborg, Søren Malling, Arly Jover, Thomas Bo Larsen","Denmark, USA",Christina Rosendahl,Thriller,"Danish, English, Spanish, Greenlandic",Unknown,NOT RATED,09 Apr 2015,114.0,movie,"Lars Kristian Andersen, Simon Pasternak, Christina Rosendahl, Birgitte Stærmose",2015,7.0,1025,4,14
Urban Family,"Maria Ylipää, Johannes Brotherus, Riku Nieminen, Anu Sinisalo",Finland,Oskari Sipola,"Comedy, Drama, Family",Finnish,Unknown,NOT RATED,07 Aug 2015,82.0,movie,Tua Harno,2015,5.2,101,0,0
